Observations,Predictions,Station_Co,Station_Name
20401.967,13433.287,3002630,진안군(신용담교)
20400.965,12658.231,3002630,진안군(신용담교)
20401.967,13439.443,3002630,진안군(신용담교)
20400.965,13489.833,3002630,진안군(신용담교)
-11.019531,12971.744,3002630,진안군(신용담교)
-11.019531,11218.35,3002630,진안군(신용담교)
-11.019531,11741.924,3002630,진안군(신용담교)
20401.967,11804.783,3002630,진안군(신용담교)
20400.965,12403.81,3002630,진안군(신용담교)
-11.019531,12737.589,3002630,진안군(신용담교)
-11.019531,12498.595,3002630,진안군(신용담교)
-11.019531,11089.714,3002630,진안군(신용담교)
-11.019531,11664.746,3002630,진안군(신용담교)
-11.019531,9371.17,3002630,진안군(신용담교)
20400.965,15703.322,3002630,진안군(신용담교)
-11.019531,13123.595,3002630,진안군(신용담교)
20400.965,12209.411,3002630,진안군(신용담교)
20400.965,12446.219,3002630,진안군(신용담교)
-11.019531,13107.994,3002630,진안군(신용담교)
20399.965,11852.854,3002630,진안군(신용담교)
-11.019531,12289.043,3002630,진안군(신용담교)
20397.963,12634.237,3002630,진안군(신용담교)
-11.019531,12185.215,3002630,진안군(신용담교)
20397.963,12719.342,3002630,진안군(신용담교)
20397.963,12174.631,3002630,진안군(신용담교)
20397.963,12881.046,3002630,진안군(신용담교)
-11.019531,13173.465,3002630,진안군(신용담교)
20396.963,11915.044,3002630,진안군(신용담교)
-11.019531,12582.082,3002630,진안군(신용담교)
20397.963,12158.449,3002630,진안군(신용담교)
20397.963,12362.279,3002630,진안군(신용담교)
20397.963,13028.023,3002630,진안군(신용담교)
20401.967,13173.944,3002630,진안군(신용담교)
20398.965,13338.361,3002630,진안군(신용담교)
20400.965,13543.752,3002630,진안군(신용담교)
20400.965,14384.7705,3002630,진안군(신용담교)
20400.965,14788.411,3002630,진안군(신용담교)
20400.965,14934.16,3002630,진안군(신용담교)
20400.965,14965.236,3002630,진안군(신용담교)
20400.965,14412.325,3002630,진안군(신용담교)
20401.967,14348.17,3002630,진안군(신용담교)
20401.967,14347.779,3002630,진안군(신용담교)
20400.965,14943.6875,3002630,진안군(신용담교)
20400.965,14817.979,3002630,진안군(신용담교)
20400.965,13915.575,3002630,진안군(신용담교)
20400.965,14409.914,3002630,진안군(신용담교)
20400.965,14408.636,3002630,진안군(신용담교)
20400.965,13807.3955,3002630,진안군(신용담교)
20401.967,14409.889,3002630,진안군(신용담교)
20400.965,14411.098,3002630,진안군(신용담교)
20401.967,14843.665,3002630,진안군(신용담교)
20401.967,14952.344,3002630,진안군(신용담교)
20400.965,14976.929,3002630,진안군(신용담교)
20400.965,14980.463,3002630,진안군(신용담교)
20400.965,14980.707,3002630,진안군(신용담교)
20400.965,14980.955,3002630,진안군(신용담교)
20400.965,14981.02,3002630,진안군(신용담교)
20400.965,14995.868,3002630,진안군(신용담교)
20400.965,14996.129,3002630,진안군(신용담교)
20401.967,14979.037,3002630,진안군(신용담교)
20400.965,14979.23,3002630,진안군(신용담교)
20400.965,14980.755,3002630,진안군(신용담교)
20400.965,14980.796,3002630,진안군(신용담교)
20400.965,14980.809,3002630,진안군(신용담교)
20399.965,14702.421,3002630,진안군(신용담교)
20400.965,14981.023,3002630,진안군(신용담교)
20400.965,14981.032,3002630,진안군(신용담교)
20400.965,14981.032,3002630,진안군(신용담교)
20400.965,14981.031,3002630,진안군(신용담교)
20400.965,14981.032,3002630,진안군(신용담교)
20400.965,14981.032,3002630,진안군(신용담교)
20400.965,14996.606,3002630,진안군(신용담교)
20400.965,14981.025,3002630,진안군(신용담교)
20400.965,14981.023,3002630,진안군(신용담교)
20400.965,14981.023,3002630,진안군(신용담교)
20400.965,14981.013,3002630,진안군(신용담교)
20400.965,14980.994,3002630,진안군(신용담교)
20399.965,14981.009,3002630,진안군(신용담교)
20400.965,14981.027,3002630,진안군(신용담교)
20400.965,14981.026,3002630,진안군(신용담교)
20400.965,14981.031,3002630,진안군(신용담교)
20400.965,14981.027,3002630,진안군(신용담교)
20400.965,14981.03,3002630,진안군(신용담교)
20400.965,14981.031,3002630,진안군(신용담교)
20400.965,14981.032,3002630,진안군(신용담교)
20400.965,14981.032,3002630,진안군(신용담교)
20400.965,14981.032,3002630,진안군(신용담교)
20400.965,14981.03,3002630,진안군(신용담교)
20400.965,14981.032,3002630,진안군(신용담교)
20400.965,14980.458,3002630,진안군(신용담교)
20400.965,14981.016,3002630,진안군(신용담교)
20399.965,14937.847,3002630,진안군(신용담교)
20399.965,14597.767,3002630,진안군(신용담교)
20399.965,13351.248,3002630,진안군(신용담교)
20398.965,13350.1455,3002630,진안군(신용담교)
20397.963,13350.139,3002630,진안군(신용담교)
20396.963,14981.032,3002630,진안군(신용담교)
-11.019531,14981.032,3002630,진안군(신용담교)
20397.963,10819.107,3002630,진안군(신용담교)
20397.963,14228.765,3002630,진안군(신용담교)
-11.019531,14426.573,3002630,진안군(신용담교)
-11.019531,9476.695,3002630,진안군(신용담교)
-11.019531,5836.573,3002630,진안군(신용담교)
-11.019531,11679.671,3002630,진안군(신용담교)
-11.019531,10160.383,3002630,진안군(신용담교)
20397.963,16737.227,3002630,진안군(신용담교)
20397.963,13254.431,3002630,진안군(신용담교)
20397.963,13381.876,3002630,진안군(신용담교)
20397.963,14245.624,3002630,진안군(신용담교)
20397.963,14724.127,3002630,진안군(신용담교)
20397.963,14521.725,3002630,진안군(신용담교)
20397.963,14566.191,3002630,진안군(신용담교)
20397.963,14981.032,3002630,진안군(신용담교)
20397.963,14979.487,3002630,진안군(신용담교)
20398.965,14980.141,3002630,진안군(신용담교)
20398.965,14975.227,3002630,진안군(신용담교)
20398.965,14979.147,3002630,진안군(신용담교)
20398.965,14599.848,3002630,진안군(신용담교)
20398.965,14598.121,3002630,진안군(신용담교)
20398.965,13352.054,3002630,진안군(신용담교)
20398.965,14599.767,3002630,진안군(신용담교)
20398.965,14600.086,3002630,진안군(신용담교)
20398.965,14614.035,3002630,진안군(신용담교)
-11.019531,14579.065,3002630,진안군(신용담교)
-11.019531,11408.375,3002630,진안군(신용담교)
20399.965,9940.297,3002630,진안군(신용담교)
20400.965,13255.449,3002630,진안군(신용담교)
20399.965,13695.104,3002630,진안군(신용담교)
20400.965,13965.592,3002630,진안군(신용담교)
20399.965,13942.452,3002630,진안군(신용담교)
20398.965,13277.14,3002630,진안군(신용담교)
20398.965,13317.24,3002630,진안군(신용담교)
20399.965,14343.124,3002630,진안군(신용담교)
20399.965,13350.142,3002630,진안군(신용담교)
20399.965,13350.154,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20397.963,13350.139,3002630,진안군(신용담교)
20398.965,13350.139,3002630,진안군(신용담교)
20399.965,14599.776,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20400.965,13350.139,3002630,진안군(신용담교)
20398.965,13350.139,3002630,진안군(신용담교)
20400.965,13350.139,3002630,진안군(신용담교)
20400.965,13350.144,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20398.965,13350.139,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20398.965,14599.7295,3002630,진안군(신용담교)
20399.965,14599.727,3002630,진안군(신용담교)
20399.965,14600.439,3002630,진안군(신용담교)
20399.965,13350.344,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20399.965,13350.139,3002630,진안군(신용담교)
20398.965,13350.139,3002630,진안군(신용담교)
20399.965,14599.85,3002630,진안군(신용담교)
20398.965,14860.779,3002630,진안군(신용담교)
20398.965,13350.139,3002630,진안군(신용담교)
20398.965,13350.139,3002630,진안군(신용담교)
20398.965,13350.139,3002630,진안군(신용담교)
20398.965,13350.138,3002630,진안군(신용담교)
20398.965,13350.139,3002630,진안군(신용담교)
-11.019531,13350.376,3002630,진안군(신용담교)
20399.965,11631.429,3002630,진안군(신용담교)
20400.965,13833.676,3002630,진안군(신용담교)
20399.965,12790.07,3002630,진안군(신용담교)
20399.965,12828.6,3002630,진안군(신용담교)
20399.965,12841.822,3002630,진안군(신용담교)
20399.965,12899.445,3002630,진안군(신용담교)
20399.965,13318.066,3002630,진안군(신용담교)
20400.965,14511.108,3002630,진안군(신용담교)
20398.965,12900.215,3002630,진안군(신용담교)
20396.963,12900.271,3002630,진안군(신용담교)
20396.963,12900.668,3002630,진안군(신용담교)
20396.963,14375.468,3002630,진안군(신용담교)
-11.019531,12780.426,3002630,진안군(신용담교)
20396.963,12920.899,3002630,진안군(신용담교)
20394.96,12622.023,3002630,진안군(신용담교)
20395.96,12862.472,3002630,진안군(신용담교)
20396.963,12902.048,3002630,진안군(신용담교)
20396.963,12919.645,3002630,진안군(신용담교)
20396.963,12899.985,3002630,진안군(신용담교)
-11.019531,13317.223,3002630,진안군(신용담교)
20395.96,11631.363,3002630,진안군(신용담교)
20395.96,13834.028,3002630,진안군(신용담교)
20396.963,12790.345,3002630,진안군(신용담교)
20399.965,12829.115,3002630,진안군(신용담교)
20400.965,12842.274,3002630,진안군(신용담교)
20398.965,12899.474,3002630,진안군(신용담교)
20396.963,13894.232,3002630,진안군(신용담교)
20396.963,12900.037,3002630,진안군(신용담교)
-11.019531,12900.042,3002630,진안군(신용담교)
20397.963,12593.819,3002630,진안군(신용담교)
20397.963,12595.316,3002630,진안군(신용담교)
20396.963,14104.46,3002630,진안군(신용담교)
20397.963,13409.42,3002630,진안군(신용담교)
20397.963,12842.25,3002630,진안군(신용담교)
20396.963,12899.447,3002630,진안군(신용담교)
20394.96,13317.216,3002630,진안군(신용담교)
20397.963,13350.307,3002630,진안군(신용담교)
20397.963,13371.733,3002630,진안군(신용담교)
20397.963,13350.913,3002630,진안군(신용담교)
20397.963,14599.711,3002630,진안군(신용담교)
20396.963,13350.158,3002630,진안군(신용담교)
20396.963,13350.171,3002630,진안군(신용담교)
20397.963,13353.093,3002630,진안군(신용담교)
20397.963,13351.835,3002630,진안군(신용담교)
20397.963,13351.708,3002630,진안군(신용담교)
20396.963,13360.519,3002630,진안군(신용담교)
20395.96,13354.976,3002630,진안군(신용담교)
20395.96,13350.118,3002630,진안군(신용담교)
20396.963,13350.117,3002630,진안군(신용담교)
20397.963,22271.273,3002630,진안군(신용담교)
20397.963,14380.717,3002630,진안군(신용담교)
20397.963,13336.227,3002630,진안군(신용담교)
20396.963,14585.82,3002630,진안군(신용담교)
20395.96,13336.242,3002630,진안군(신용담교)
20399.965,14585.169,3002630,진안군(신용담교)
20398.965,13336.095,3002630,진안군(신용담교)
20398.965,12899.186,3002630,진안군(신용담교)
20397.963,13348.467,3002630,진안군(신용담교)
20397.963,13348.419,3002630,진안군(신용담교)
20398.965,14173.856,3002630,진안군(신용담교)
20398.965,12917.413,3002630,진안군(신용담교)
-11.019531,12919.095,3002630,진안군(신용담교)
20397.963,12545.172,3002630,진안군(신용담교)
20398.965,12595.018,3002630,진안군(신용담교)
-11.019531,12852.674,3002630,진안군(신용담교)
-11.019531,9874.877,3002630,진안군(신용담교)
-11.019531,3577.374,3002630,진안군(신용담교)
